imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.23053423785741892, -0.050317334849565964, 1.143914161457325]","[-2.9355712422849782, 0.8872431861472238, 0.0053804379355310095]",0.0,aruco,"[-0.23806368519624593, -0.0532250033290714, 1.1760700883724882]","[-2.935739851954154, 0.8760990786080614, -0.02614245308579289]",True,"[-0.007529447338827017, -0.0029076684795054375, 0.032155926915163224]","[-0.0031932306978886306, -0.020770655317106847, 0.006210825299712726]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2269155375908065, -0.03382618985499025, 1.1495821029247713]","[-2.8491935674015005, 0.568500889669082, -0.0055694003516589576]",0.0666666666666666,aruco,"[-0.23102051200840035, -0.03549616362669805, 1.171028277073319]","[-2.8466174204017842, 0.569416710038171, -0.003349962757915898]",True,"[-0.00410497441759386, -0.0016699737717078, 0.02144617414854766]","[0.0026228438802568524, 0.0011261330482073568, -0.0007694343946967175]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.226657584579425, -0.017588001711638268, 1.157867947934308]","[-2.73391057790181, 0.2572935095985162, -0.01596554567142969]",0.1333333333333333,aruco,"[-0.2314316698265789, -0.018758203709436087, 1.1849706239382147]","[-2.7373196576587615, 0.25864415529957513, -0.007114820272127507]",True,"[-0.004774085247153892, -0.0011702019977978192, 0.02710267600390681]","[-0.0028743228754953363, 0.006648128221876663, 0.0005061354437144456]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.22982831497031722, -0.0029586648524763115, 1.1682682254672698]","[-2.59302092498648, -0.03668340683824407, -0.025484119293773873]",0.2,aruco,"[-0.23230467506378896, -0.0035763935768611025, 1.18012602438447]","[-2.600227323719033, -0.037342194344980414, -0.021737320137919763]",True,"[-0.002476360093471741, -0.000617728724384791, 0.01185779891720018]","[-0.00722742831994203, 0.0025098552693087425, 0.001092388698158689]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.23592721757718813, 0.00890584392311794, 1.1799957516145707]","[-2.4326908483753527, -0.30564655922566725, -0.033897844293079626]",0.2666666666666666,aruco,"[-0.23824682412382153, 0.008358790625086153, 1.1899160946760314]","[-2.433935345483813, -0.3086338193107916, -0.029889310887421295]",True,"[-0.002319606546633407, -0.0005470532980317872, 0.009920343061460724]","[-0.0018571918464015342, 0.001966123921119845, 0.0030520839087425336]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2439991041922021, 0.017314284374371325, 1.1921335667266344]","[-2.26110959408292, -0.5440316758465927, -0.04107945413816557]",0.3333333333333333,aruco,"[-0.24579379136331997, 0.017044584923035608, 1.20076689353486]","[-2.261748176080961, -0.5400615542368505, -0.03627896980165052]",True,"[-0.0017946871711178591, -0.00026969945133571704, 0.008633326808225705]","[-0.0007062056914370102, 0.004694519796229968, -0.0013974602699699302]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2528598234390924, 0.02216963556349688, 1.2038144558388777]","[-2.08760741803635, -0.748536804904826, -0.04699509743739459]",0.4,aruco,"[-0.2594232270893575, 0.02186567883483879, 1.2310958541046209]","[-2.0809599058020636, -0.7488999011570335, -0.04471896830319735]",True,"[-0.006563403650265087, -0.0003039567286580898, 0.027281398265743162]","[0.005553534273029069, 0.002651845826049946, 0.0027736992861611544]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.26134974114946763, 0.02393125033520671, 1.2143661330883855]","[-1.921823639865278, -0.9179232092200973, -0.05168932426003073]",0.4666666666666667,aruco,"[-0.2680444508960728, 0.023917510800918505, 1.2417972514130244]","[-1.9310367404209254, -0.9174331729473385, -0.05605074080402294]",True,"[-0.0066947097466051875, -1.3739534288206151e-05, 0.02743111832463896]","[-0.0067694332876141695, -0.004601303109782595, -0.005017440279208254]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2685293751194626, 0.023444281795537314, 1.2233811610655474]","[-1.7729797005097474, -1.0526152198597407, -0.05526367868651312]",0.5333333333333333,aruco,"[-0.2736585278354638, 0.02334395519590163, 1.2453919146536938]","[-1.7767978648304557, -1.0476279080819657, -0.04936369436068607]",True,"[-0.005129152716001173, -0.00010032659963568266, 0.022010753588146414]","[-0.003978709414469407, 0.005649138635602746, -0.0019382805400484733]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2737682694492099, 0.021711396577587527, 1.2307042667161663]","[-1.6492867654610825, -1.154156060312314, -0.057851259588335806]",0.6,aruco,"[-0.27985822126331056, 0.02143053433844276, 1.2556799538862005]","[-1.6436233452814015, -1.1501084286458854, -0.06028211655692856]",True,"[-0.006089951814100658, -0.00028086223914476627, 0.024975687170034178]","[0.006722566651754221, 0.002462343456678329, -0.0010320286532459607]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
