imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.23053423785741892, -0.050317334849565964, 1.143914161457325]","[-2.9355712422849782, 0.8872431861472238, 0.0053804379355310095]",0.0,aruco,"[-0.24467367629829792, -0.04604714429997351, 1.1764115718610058]","[-2.843339218397868, 0.9057630762674459, -0.5143395194038505]",True,"[-0.014139438440879004, 0.004270190549592455, 0.032497410403680815]","[-0.06109616393180461, -0.3398629926224499, -0.042370340119908034]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2269155375908065, -0.03382618985499025, 1.1495821029247713]","[-2.8491935674015005, 0.568500889669082, -0.0055694003516589576]",0.0666666666666666,aruco,"[-0.22436795503042264, -0.034227936835401554, 1.1785964106723845]","[-2.839960162549254, 0.5970785946474181, 0.033386133849938514]",True,"[0.002547582560383843, -0.0004017469804113022, 0.029014307747613266]","[0.00877673451188334, 0.02768732879949841, -0.017123105704450848]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.226657584579425, -0.017588001711638268, 1.157867947934308]","[-2.73391057790181, 0.2572935095985162, -0.01596554567142969]",0.1333333333333333,aruco,"[-0.2253486176638598, -0.01979776111745848, 1.1905800164513465]","[-2.7339775757361204, 0.2897628340139502, -0.004061732666707345]",True,"[0.0013089669155652017, -0.002209759405820213, 0.03271206851703856]","[-0.0018838678790528945, 0.01310615564245825, -0.020958775160330886]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.22982831497031722, -0.0029586648524763115, 1.1682682254672698]","[-2.59302092498648, -0.03668340683824407, -0.025484119293773873]",0.2,aruco,"[-0.22723405969502183, -0.007066362973759163, 1.1954118658854673]","[-2.579981386689054, 0.0006598721078954834, -0.017554527519312024]",True,"[0.0025942552752953874, -0.004107698121282852, 0.0271436404181975]","[0.013480475140725793, 0.013273047174261214, -0.024937263153384417]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.23592721757718813, 0.00890584392311794, 1.1799957516145707]","[-2.4326908483753527, -0.30564655922566725, -0.033897844293079626]",0.2666666666666666,aruco,"[-0.2359047084321822, 0.004245112064370733, 1.2224695842631312]","[-2.436676530272631, -0.24904957672925415, -0.0265685996516085]",True,"[2.2509145005927822e-05, -0.004660731858747207, 0.04247383264856053]","[0.0007332599677555836, 0.02022445922179664, -0.039024011544980974]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2439991041922021, 0.017314284374371325, 1.1921335667266344]","[-2.26110959408292, -0.5440316758465927, -0.04107945413816557]",0.3333333333333333,aruco,"[-0.2407093155425477, 0.011240121313232765, 1.226972620417537]","[-2.256005030893064, -0.5038489892250992, -0.028626274418250386]",True,"[0.0032897886496544015, -0.00607416306113856, 0.03483905369090268]","[0.009496887454711908, 0.023635765381259877, -0.023441128902742924]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2528598234390924, 0.02216963556349688, 1.2038144558388777]","[-2.08760741803635, -0.748536804904826, -0.04699509743739459]",0.4,aruco,"[-0.24832967523272226, 0.016225892437325806, 1.2378240825595643]","[-2.08524174778856, -0.7247261449309088, -0.04119531419938159]",True,"[0.004530148206370155, -0.005943743126171075, 0.034009626720686637]","[0.0059837490764506115, 0.014713380071656535, -0.013421512701603884]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.26134974114946763, 0.02393125033520671, 1.2143661330883855]","[-1.921823639865278, -0.9179232092200973, -0.05168932426003073]",0.4666666666666667,aruco,"[-0.25722170806767664, 0.018015119411635062, 1.2541545025653356]","[-1.9194358654719097, -0.889721865214882, -0.047774893907405434]",True,"[0.004128033081790994, -0.005916130923571648, 0.03978836947695008]","[0.00796084569436159, 0.017444320982883135, -0.015820509694670894]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2685293751194626, 0.023444281795537314, 1.2233811610655474]","[-1.7729797005097474, -1.0526152198597407, -0.05526367868651312]",0.5333333333333333,aruco,"[-0.26266779339827406, 0.01744537039389993, 1.2610103535206019]","[-1.7717573168235707, -1.0212049082254493, -0.04250588228382934]",True,"[0.005861581721188558, -0.005998911401637386, 0.03762919245505447]","[0.004918371989929758, 0.026314280958136045, -0.01315358597871751]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2737682694492099, 0.021711396577587527, 1.2307042667161663]","[-1.6492867654610825, -1.154156060312314, -0.057851259588335806]",0.6,aruco,"[-0.2709298848151478, 0.016328855450863752, 1.2810247245064603]","[-1.6423997051161887, -1.1306631909817222, -0.06028259905250378]",True,"[0.0028383846340621077, -0.005382541126723775, 0.05032045779029404]","[0.013116671637938962, 0.014996240221366666, -0.011681449685655603]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.2767280168669644, 0.019681075098190892, 1.2363592708173667]","[-1.5574970058159614, -1.2245911512433232, -0.05958995422315665]",0.6666666666666666,aruco,"[-0.27599372818640366, 0.01574761415275252, 1.3024167259361514]","[-1.5579176448018204, -1.2027550541003338, -0.048812030722504014]",True,"[0.0007342886805607463, -0.003933460945438373, 0.06605745511878469]","[0.00119621520563059, 0.02056012012936836, -0.00711871920187513]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.27727736534887093, 0.018095906164781628, 1.2404514445183694]","[-1.5025907443252304, -1.2658618489922862, -0.06059731280278549]",0.7333333333333333,aruco,"[-0.27429480168837916, 0.013488798909391572, 1.2963769460883092]","[-1.5162484106012337, -1.2212439858464395, -0.04759118800602488]",True,"[0.002982563660491766, -0.0046071072553900555, 0.055925501569939806]","[-0.004030178969146135, 0.034537046785534986, -0.023896249819967765]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.2753900949745128, 0.01740715741632709, 1.2430785955571992]","[-1.4875793051127348, -1.2792959481601525, -0.06095004281642729]",0.8,aruco,"[-0.274725534853848, 0.012866828975521119, 1.308025096486105]","[-1.4679035632525883, -1.2739314536139539, -0.08809136806062381]",True,"[0.0006645601206647922, -0.004540328440805971, 0.06494650092890586]","[0.028840723393650864, -0.006458383955073078, -0.0063464561937377605]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.2710689258355432, 0.017738400266626708, 1.2442732205329425]","[-1.5133986093304532, -1.2652718165742924, -0.06067071124023143]",0.8666666666666667,aruco,"[-0.320611534200704, 0.08002543322057587, 1.2794737177772864]","[1.3761036647966114, 0.8475634581953576, 0.24574890981271447]",True,"[-0.04954260836516078, 0.06228703295394916, 0.03520049724434382]","[-2.0107012380365656, -1.7385396946759892, -0.4547047107679132]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.2643216955341982, 0.018878087009403577, 1.243986607660339]","[-1.5788733904311463, -1.22310922822624, -0.05972341462965492]",0.9333333333333332,aruco,"[-0.2599880685811378, 0.013683316978245208, 1.2934782858916771]","[-1.5839889375959908, -1.183101406291262, -0.05516694150671921]",True,"[0.004333626953060388, -0.005194770031158369, 0.049491678231338154]","[0.005227025252285925, 0.027693823496415037, -0.02227354987639382]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.25519717695490696, 0.020294025667244642, 1.242117174685189]","[-1.6807450259294763, -1.1512050613886935, -0.05801901818598104]",1.0,aruco,"[-0.24841058236566185, 0.014778574617223046, 1.280335929903202]","[-1.695373029393464, -1.1110313450018257, -0.045767701759627896]",True,"[0.006786594589245104, -0.005515451050021596, 0.0382187552180131]","[-0.005672286379947544, 0.028470041210357955, -0.023971560717569295]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.24386919440239357, 0.021180659794385548, 1.2385780571287262]","[-1.8137722696165044, -1.0473932820901446, -0.05542929398929669]",1.0666666666666669,aruco,"[-0.2372468457939585, 0.015332661892777481, 1.276030315260167]","[-1.8116958629486855, -1.013266313768935, -0.03823929016135753]",True,"[0.00662234860843508, -0.005847997901608067, 0.03745225813144093]","[0.00498609043130514, 0.0303829495899372, -0.0130682346824659]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
17.png,"[-0.23073885417233586, 0.020560354743365983, 1.2333898770471046]","[-1.970926963654273, -0.9094746606821627, -0.051808160921212036]",1.1333333333333333,aruco,"[-0.22480126110197896, 0.014552756554535869, 1.270901310170029]","[-1.9617725420849261, -0.885836648629465, -0.04297933294343417]",True,"[0.005937593070356906, -0.006007598188830114, 0.03751143312292449]","[0.011519147516150123, 0.019405045686171515, -0.00911047994198436]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
18.png,"[-0.216508796947918, 0.01745237182481013, 1.2267731623168896]","[-2.1437112789032833, -0.7358392012243894, -0.04701744676970297]",1.2,aruco,"[-0.21305157518748133, 0.011548208042201795, 1.2714515239163118]","[-2.145818549979526, -0.6869647859116369, -0.029105895964743788]",True,"[0.0034572217604366684, -0.005904163782608336, 0.04467836159942218]","[0.004348585862508395, 0.03185541533967996, -0.027787389578739396]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
19.png,"[-0.2021792770193738, 0.011095276946822552, 1.2192056610723099]","[-2.3226181496911185, -0.5260957616167607, -0.04095423731997638]",1.2666666666666666,aruco,"[-0.19852188755240766, 0.005479411570349094, 1.2567466314035136]","[-2.3218632074179792, -0.49001511337718673, -0.04242091108895232]",True,"[0.0036573894669661433, -0.005615865376473458, 0.03754097033120374]","[0.00673716744511243, 0.010727488343597977, -0.025730579586717872]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
20.png,"[-0.18893384516250883, 0.0011702466137230028, 1.211411219539018]","[-2.497744405514439, -0.28162661411878065, -0.03357688611480234]",1.3333333333333333,aruco,"[-0.18585850270091378, -0.0033179214477707525, 1.2433017991632556]","[-2.503060862593516, -0.2390276667163537, -0.04065846408702407]",True,"[0.0030753424615950486, -0.004488168061493755, 0.03189057962423747]","[-0.0010086594199606742, 0.004854985351682055, -0.03255248248309014]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
21.png,"[-0.17792401087080684, -0.012053695161469424, 1.2042652569145547]","[-2.659549112351169, -0.005994668100102418, -0.024926967976173827]",1.4,aruco,"[-0.17430045415194795, -0.015866304751978106, 1.2301371552657174]","[-2.653618910868693, 0.028354522225462683, -0.014285574411512394]",True,"[0.003623556718858889, -0.0038126095905086817, 0.02587189835116277]","[0.006086969056684727, 0.013523687204554144, -0.02248239604064835]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
22.png,"[-0.17001233370002483, -0.027722925560370537, 1.1986340872865082]","[-2.799728025310935, 0.29485697475213346, -0.015144697292980788]",1.4666666666666666,aruco,"[-0.16678733178873623, -0.02929889491698242, 1.2296392119290036]","[-2.805138605691801, 0.3322713701790453, 0.003724054232461321]",True,"[0.0032250019112886052, -0.0015759693566118824, 0.031005124642495385]","[-0.007486163571114818, 0.0180973232719924, -0.023181083902704857]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
23.png,"[-0.16556415914516437, -0.04457172203476373, 1.1951968396417285]","[-2.9121462582956203, 0.612660407712626, -0.004475542511303213]",1.5333333333333332,aruco,"[-0.16107063580838019, -0.04370500121198341, 1.2305818277220204]","[-2.941457109886445, 0.6525719421614563, 0.06834178294991303]",True,"[0.004493523336784183, 0.0008667208227803175, 0.03538498808029189]","[-0.02668646093594265, 0.0566214324144916, -0.01786081341226732]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
24.png,"[-0.16436702652885482, -0.06121517485964062, 1.1943109412269683]","[-2.993732749248746, 0.9371610513076565, 0.0067338773137873235]",1.6,aruco,"[-0.1611234296598851, -0.05822913129915495, 1.2280934820789569]","[2.946933453144315, -0.9587417604416575, -0.0214076000578227]",True,"[0.003243596868969717, 0.0029860435604856725, 0.03378254085198851]","[-0.04217953786876914, 0.023234976953767278, -0.022188524368353734]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
25.png,"[-0.1657050091856398, -0.07646243577013123, 1.1959656862367327]","[2.7627419798184625, -1.140163486918559, -0.016377255410742968]",1.6666666666666667,aruco,"[-0.16598726687424184, -0.07603845960694161, 1.2489846500846855]","[2.774515933094499, -1.2084084032458977, -0.008100889136829395]",True,"[-0.0002822576886020445, 0.00042397616318962106, 0.053018963847952794]","[0.03114682309604587, -0.022080840530477115, -0.038327743027952034]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
26.png,"[-0.16855066564300802, -0.08954667702385227, 1.1998312662310588]","[2.5310312356929123, -1.2848724942384937, -0.02388726703875692]",1.7333333333333334,aruco,"[-0.16402596406544157, -0.08627254944135666, 1.2391119924084117]","[2.5121029566918693, -1.3134766145965753, -0.06993532487846138]",True,"[0.004524701577566459, 0.003274127582495609, 0.0392807261773529]","[0.0098422280589063, 0.02659563687818791, -0.028303178279586602]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
27.png,"[-0.17179541599952677, -0.10021161222869862, 1.2053732353060336]","[2.318732303576049, -1.3791756261004928, -0.02936799697832124]",1.8,aruco,"[-0.16811845046584104, -0.09527900654566851, 1.2486581964170003]","[2.2957071940253266, -1.4146288002307426, -0.024870985236986224]",True,"[0.0036769655336857388, 0.004932605683030111, 0.04328496111096669]","[-0.0065552597344520815, -0.00759862281695168, -0.029079180966478206]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
