imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.23053423785741892, -0.050317334849565964, 1.143914161457325]","[-2.9355712422849782, 0.8872431861472238, 0.0053804379355310095]",0.0,aruco,"[-0.23696251161163848, -0.05239852178494757, 1.1625809629883859]","[-2.9080466826141596, 0.8688416227023482, -0.054020142013308466]",True,"[-0.00642827375421956, -0.0020811869353816043, 0.018666801531060928]","[0.01851236612275972, -0.04660860793338917, 0.004830059945166847]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2269155375908065, -0.03382618985499025, 1.1495821029247713]","[-2.8491935674015005, 0.568500889669082, -0.0055694003516589576]",0.0666666666666666,aruco,"[-0.2286923230459728, -0.03479709286797679, 1.1615737804992596]","[-2.8518023744804433, 0.569662483253856, 0.025948588527762335]",True,"[-0.0017767854551663242, -0.0009709030129865376, 0.01199167757448838]","[0.0013629842817232051, 0.02158260057658282, 0.0021053542157645016]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.226657584579425, -0.017588001711638268, 1.157867947934308]","[-2.73391057790181, 0.2572935095985162, -0.01596554567142969]",0.1333333333333333,aruco,"[-0.22913080001684497, -0.01768818587568401, 1.1736396901707893]","[-2.750093542847963, 0.25594389601442036, 0.013419696117504959]",True,"[-0.002473215437419962, -0.00010018416404574196, 0.015771742236481368]","[-0.014027634083871783, 0.02156337167612687, 0.006020247524598707]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.22982831497031722, -0.0029586648524763115, 1.1682682254672698]","[-2.59302092498648, -0.03668340683824407, -0.025484119293773873]",0.2,aruco,"[-0.23260520291346504, -0.0031146848202666458, 1.1823584328216994]","[-2.5973347687549153, -0.03748762014179309, -0.00912402891612256]",True,"[-0.0027768879431478155, -0.00015601996779033428, 0.014090207354429563]","[-0.00440579105433515, 0.011499757263059017, 0.0037815700544827626]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.23592721757718813, 0.00890584392311794, 1.1799957516145707]","[-2.4326908483753527, -0.30564655922566725, -0.033897844293079626]",0.2666666666666666,aruco,"[-0.23756171928600814, 0.008300600493397297, 1.1879922952638209]","[-2.424052073571588, -0.30251370638019465, -0.029485314620261792]",True,"[-0.0016345017088200131, -0.0006052434297206429, 0.007996543649250176]","[0.008499494287500861, 0.004729099896180314, -0.00023114194220343076]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2439991041922021, 0.017314284374371325, 1.1921335667266344]","[-2.26110959408292, -0.5440316758465927, -0.04107945413816557]",0.3333333333333333,aruco,"[-0.24592261583540215, 0.016850697173221227, 1.201775799259049]","[-2.2446020464149146, -0.5408250396950822, -0.02997375299614368]",True,"[-0.0019235116432000376, -0.000463587201150098, 0.009642232532414585]","[0.014650731334155183, 0.011368421208455055, 0.004235612437179827]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2528598234390924, 0.02216963556349688, 1.2038144558388777]","[-2.08760741803635, -0.748536804904826, -0.04699509743739459]",0.4,aruco,"[-0.2571326201302524, 0.022354338380780353, 1.2241116965557708]","[-2.076782162440788, -0.7547075489311486, -0.033724075995294735]",True,"[-0.004272796691159986, 0.00018470281728347193, 0.020297240716893095]","[0.00557683555961144, 0.00845088311472213, 0.011741463624517827]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.26134974114946763, 0.02393125033520671, 1.2143661330883855]","[-1.921823639865278, -0.9179232092200973, -0.05168932426003073]",0.4666666666666667,aruco,"[-0.2686780840590738, 0.02485777649618754, 1.2450224513125954]","[-1.921968365494553, -0.9230070419712639, -0.052425516843925386]",True,"[-0.007328342909606156, 0.0009265261609808298, 0.03065631822420989]","[-0.0011919392243657457, -0.0031041920320673115, 0.0029221890015671765]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2685293751194626, 0.023444281795537314, 1.2233811610655474]","[-1.7729797005097474, -1.0526152198597407, -0.05526367868651312]",0.5333333333333333,aruco,"[-0.2736771629299409, 0.024006425815653945, 1.2452692414718318]","[-1.7739355041178797, -1.0473808722015268, -0.0426031446004318]",True,"[-0.005147787810478255, 0.0005621440201166311, 0.021888080406284427]","[-0.003866824915441165, 0.01065329083472896, 0.0018844452623384882]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2737682694492099, 0.021711396577587527, 1.2307042667161663]","[-1.6492867654610825, -1.154156060312314, -0.057851259588335806]",0.6,aruco,"[-0.2815994865980089, 0.022490168352341994, 1.2629364665076657]","[-1.6455990429716063, -1.1561094636607536, -0.060317916638158775]",True,"[-0.007831217148798975, 0.0007787717747544665, 0.03223219979149938]","[0.003442127326298854, -0.0018089527106286015, 0.0015571334055454696]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.2767280168669644, 0.019681075098190892, 1.2363592708173667]","[-1.5574970058159614, -1.2245911512433232, -0.05958995422315665]",0.6666666666666666,aruco,"[-0.2854890970384847, 0.020366100765553688, 1.270538657715028]","[-1.5619268043421788, -1.216751879002149, -0.048994617941823686]",True,"[-0.008761080171520275, 0.0006850256673627958, 0.0341793868976612]","[-0.00581718298743376, 0.010143634602270635, -0.001357599653985646]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.27727736534887093, 0.018095906164781628, 1.2404514445183694]","[-1.5025907443252304, -1.2658618489922862, -0.06059731280278549]",0.7333333333333333,aruco,"[-0.2850209530946364, 0.018711764618057382, 1.271851660893088]","[-1.5088774338327635, -1.2566023355043447, -0.052118234880939626]",True,"[-0.007743587745765446, 0.0006158584532757541, 0.03140021637471868]","[-0.006044191917646744, 0.00952025311704426, -0.003834971539090089]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.2753900949745128, 0.01740715741632709, 1.2430785955571992]","[-1.4875793051127348, -1.2792959481601525, -0.06095004281642729]",0.8,aruco,"[-0.28591995764957434, 0.01827446549224146, 1.2842033131793977]","[-1.4940171332990642, -1.2710309731516116, -0.043090275521757294]",True,"[-0.010529862675061563, 0.0008673080759143692, 0.04112471762219849]","[-0.010665495667894905, 0.013892941023497161, 0.001058953202136995]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.2710689258355432, 0.017738400266626708, 1.2442732205329425]","[-1.5133986093304532, -1.2652718165742924, -0.06067071124023143]",0.8666666666666667,aruco,"[-0.2754992170062827, 0.018140957327901858, 1.2634150984172496]","[-1.5179966308683637, -1.2580228060273113, -0.05482259393203645]",True,"[-0.004430291170739509, 0.00040255706127514945, 0.0191418778843071]","[-0.004110053741479696, 0.007079371674830519, -0.0032535080612700485]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.2643216955341982, 0.018878087009403577, 1.243986607660339]","[-1.5788733904311463, -1.22310922822624, -0.05972341462965492]",0.9333333333333332,aruco,"[-0.27172768127675734, 0.019608874536133955, 1.2755114464293031]","[-1.5820644096838403, -1.2143925611380042, -0.04295902247217725]",True,"[-0.007405985742559129, 0.0007307875267303782, 0.03152483876896417]","[-0.00715090299248524, 0.014497765451282429, 0.0014305877693913329]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.25519717695490696, 0.020294025667244642, 1.242117174685189]","[-1.6807450259294763, -1.1512050613886935, -0.05801901818598104]",1.0,aruco,"[-0.26521507150163753, 0.02154075777553368, 1.2858031306200928]","[-1.6845203041429335, -1.1449507794062528, -0.04883308223697373]",True,"[-0.010017894546730577, 0.0012467321082890379, 0.043685955934903875]","[-0.004920662658918552, 0.008414137131264553, -0.001153993325241287]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.24386919440239357, 0.021180659794385548, 1.2385780571287262]","[-1.8137722696165044, -1.0473932820901446, -0.05542929398929669]",1.0666666666666669,aruco,"[-0.24922758577371107, 0.021131531339614554, 1.2609402801086973]","[-1.8074287386232286, -1.0521786763825867, -0.06401325255822038]",True,"[-0.005358391371317495, -4.9128454770994145e-05, 0.022362222979971147]","[0.007049667651655862, -0.006590450145006624, 0.0017371067351044215]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
17.png,"[-0.23073885417233586, 0.020560354743365983, 1.2333898770471046]","[-1.970926963654273, -0.9094746606821627, -0.051808160921212036]",1.1333333333333333,aruco,"[-0.23362258085702495, 0.020644764073308702, 1.2466175234557821]","[-1.9665391619395454, -0.9135659659972835, -0.043177671305304366]",True,"[-0.0028837266846890863, 8.440932994271955e-05, 0.013227646408677574]","[0.0003698736273100427, 0.004654980727253077, 0.007320980235647847]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
18.png,"[-0.216508796947918, 0.01745237182481013, 1.2267731623168896]","[-2.1437112789032833, -0.7358392012243894, -0.04701744676970297]",1.2,aruco,"[-0.21902256674537074, 0.0171996383252717, 1.2376229424643745]","[-2.1368707712911, -0.7297211526160106, -0.046232616899503455]",True,"[-0.0025137697974527418, -0.0002527334995384295, 0.010849780147484944]","[0.0075190150817785574, 0.004326410148041879, -0.0022034296832872248]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
19.png,"[-0.2021792770193738, 0.011095276946822552, 1.2192056610723099]","[-2.3226181496911185, -0.5260957616167607, -0.04095423731997638]",1.2666666666666666,aruco,"[-0.20445667513765436, 0.010418859220806355, 1.2308780124189225]","[-2.307515153708859, -0.5270641712058282, -0.04295658690100035]",True,"[-0.002277398118280566, -0.0006764177260161972, 0.011672351346612597]","[0.01471065141660913, 0.000381383245149302, 0.0027056278423087015]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
20.png,"[-0.18893384516250883, 0.0011702466137230028, 1.211411219539018]","[-2.497744405514439, -0.28162661411878065, -0.03357688611480234]",1.3333333333333333,aruco,"[-0.190620966905236, 0.0007472423753828693, 1.2220881366970584]","[-2.4906634371290384, -0.28222203882171965, -0.027584840576641758]",True,"[-0.0016871217427271712, -0.0004230042383401335, 0.010676917158040311]","[0.006526792746936427, 0.004689118118654513, 0.002472906191702417]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
21.png,"[-0.17792401087080684, -0.012053695161469424, 1.2042652569145547]","[-2.659549112351169, -0.005994668100102418, -0.024926967976173827]",1.4,aruco,"[-0.18063640309442902, -0.012196958417055112, 1.2185167655280174]","[-2.6625127990441833, -0.007702549224941764, -0.02422968338219738]",True,"[-0.0027123922236221842, -0.0001432632555856874, 0.014251508613462693]","[-0.0029742281595482034, 0.00021085923176891093, 0.0013039432710337847]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
