imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.23053423785741892, -0.050317334849565964, 1.143914161457325]","[-2.9355712422849782, 0.8872431861472238, 0.0053804379355310095]",0.0,apriltag,"[-0.2291639282259854, -0.05114451344290753, 1.1412792157776377]","[-2.925516382707661, 0.8795440070974636, 0.04079923856908784]",True,"[0.0013703096314335028, -0.0008271785933415682, -0.0026349456796872506]","[0.017767234404081036, 0.018713464016605407, 0.0037627028637036617]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
1.png,"[-0.2269155375908065, -0.03382618985499025, 1.1495821029247713]","[-2.8491935674015005, 0.568500889669082, -0.0055694003516589576]",0.0666666666666666,apriltag,"[-0.22543755429036488, -0.034343056585466734, 1.1440928787210665]","[-2.8414401382344163, 0.5627940772472171, 0.013779808132520664]",True,"[0.0014779833004416043, -0.0005168667304764826, -0.00548922420370479]","[0.011028961220696512, 0.010878715084896247, 0.004353883346943416]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
2.png,"[-0.226657584579425, -0.017588001711638268, 1.157867947934308]","[-2.73391057790181, 0.2572935095985162, -0.01596554567142969]",0.1333333333333333,apriltag,"[-0.22685969787280835, -0.01765432674591164, 1.1578570603636216]","[-2.732171588262283, 0.2554605728816023, -0.018136091260922055]",True,"[-0.00020211329338334916, -6.632503427337136e-05, -1.0887570686346493e-05]","[0.001710882031521422, -0.0019304208804358286, 0.0008689720254726904]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
3.png,"[-0.22982831497031722, -0.0029586648524763115, 1.1682682254672698]","[-2.59302092498648, -0.03668340683824407, -0.025484119293773873]",0.2,apriltag,"[-0.22873238484722322, -0.002985216718457273, 1.16214938395749]","[-2.5927169545245152, -0.03708446444875439, -0.025141518905187336]",True,"[0.0010959301230940022, -2.655186598096151e-05, -0.0061188415097799265]","[0.0002957323190705823, 0.00016550909711887668, 0.00036089994559861257]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
4.png,"[-0.23592721757718813, 0.00890584392311794, 1.1799957516145707]","[-2.4326908483753527, -0.30564655922566725, -0.033897844293079626]",0.2666666666666666,apriltag,"[-0.23559353887743484, 0.008844383944980948, 1.1790698650322176]","[-2.43328977050165, -0.30371932395088086, -0.031818011142517644]",True,"[0.000333678699753287, -6.145997813699136e-05, -0.0009258865823531526]","[-0.0005636015072779417, 0.001966433675091862, -0.0008989842318723082]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
5.png,"[-0.2439991041922021, 0.017314284374371325, 1.1921335667266344]","[-2.26110959408292, -0.5440316758465927, -0.04107945413816557]",0.3333333333333333,apriltag,"[-0.24376502034374536, 0.01703329791569491, 1.1909184082404778]","[-2.260550837105135, -0.5472258240489806, -0.04057457335574881]",True,"[0.00023408384845674535, -0.00028098645867641325, -0.001215158486156609]","[-8.329392781702524e-05, -0.0006830892737241572, 0.002500181541616402]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
6.png,"[-0.2528598234390924, 0.02216963556349688, 1.2038144558388777]","[-2.08760741803635, -0.748536804904826, -0.04699509743739459]",0.4,apriltag,"[-0.2523723658683259, 0.022004000999745102, 1.2014518550880882]","[-2.088549458596412, -0.7517973772828264, -0.047944709094317195]",True,"[0.0004874575707665141, -0.0001656345637517792, -0.002362600750789534]","[-0.0013680239894761964, -0.002237364896119722, 0.0016185510508487377]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
7.png,"[-0.26134974114946763, 0.02393125033520671, 1.2143661330883855]","[-1.921823639865278, -0.9179232092200973, -0.05168932426003073]",0.4666666666666667,apriltag,"[-0.2605902925967855, 0.02373342191365606, 1.2113454738157687]","[-1.9244436653240513, -0.9211132131908486, -0.0533607590696774]",True,"[0.0007594485526821182, -0.00019782842155064914, -0.0030206592726167436]","[-0.0026342844619429073, -0.003286279480473841, 0.0005360699603995924]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
8.png,"[-0.2685293751194626, 0.023444281795537314, 1.2233811610655474]","[-1.7729797005097474, -1.0526152198597407, -0.05526367868651312]",0.5333333333333333,apriltag,"[-0.26831367172400017, 0.02322419199296183, 1.2233072073664395]","[-1.771200590818553, -1.0520391261620325, -0.05308516634542963]",True,"[0.0002157033954624521, -0.00022008980257548494, -7.395369910789817e-05]","[0.0009031693270918418, 0.00209870428636004, 0.0012548421961384151]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
9.png,"[-0.2737682694492099, 0.021711396577587527, 1.2307042667161663]","[-1.6492867654610825, -1.154156060312314, -0.057851259588335806]",0.6,apriltag,"[-0.2734836716139224, 0.021525899210953436, 1.2293601990936274]","[-1.6513057745049697, -1.154550905699874, -0.05825587910969455]",True,"[0.0002845978352875034, -0.0001854973666340909, -0.0013440676225389137]","[-0.0016034803687753662, -0.0009688761044380527, -0.0008027182263721189]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
10.png,"[-0.2767280168669644, 0.019681075098190892, 1.2363592708173667]","[-1.5574970058159614, -1.2245911512433232, -0.05958995422315665]",0.6666666666666666,apriltag,"[-0.2769660118365549, 0.01951670088881684, 1.2384640275604966]","[-1.5566579144895616, -1.2244750696602864, -0.056985891340637876]",True,"[-0.0002379949695904826, -0.0001643742093740512, 0.002104756743129821]","[-0.00040472441934451503, 0.0017493223504192186, 0.0015191042639279891]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
11.png,"[-0.27727736534887093, 0.018095906164781628, 1.2404514445183694]","[-1.5025907443252304, -1.2658618489922862, -0.06059731280278549]",0.7333333333333333,apriltag,"[-0.27665769411782737, 0.017747587237919516, 1.2382855730510591]","[-1.5046301470346584, -1.2644853380980827, -0.058050159938758075]",True,"[0.0006196712310435615, -0.0003483189268621116, -0.0021658714673102875]","[-0.00232518092358523, 0.0018580906260676313, -0.0004800129760649019]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
12.png,"[-0.2753900949745128, 0.01740715741632709, 1.2430785955571992]","[-1.4875793051127348, -1.2792959481601525, -0.06095004281642729]",0.8,apriltag,"[-0.2742067709409248, 0.01712933266691549, 1.2388972640412597]","[-1.4885553588469846, -1.2780663306730349, -0.05959503949396029]",True,"[0.0011833240335879514, -0.00027782474941160165, -0.004181331515939579]","[-0.0010132557286042026, 0.0013586756284293176, -0.0004644842989428755]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
13.png,"[-0.2710689258355432, 0.017738400266626708, 1.2442732205329425]","[-1.5133986093304532, -1.2652718165742924, -0.06067071124023143]",0.8666666666666667,apriltag,"[-0.270048118096794, 0.017390873750275287, 1.2400564634757094]","[-1.5132727860937512, -1.2667653206808287, -0.06347504079191776]",True,"[0.0010208077387491854, -0.00034752651635142073, -0.0042167570572331226]","[0.0009053291548293183, -0.0025403228126050638, -0.0004580895484755136]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
14.png,"[-0.2643216955341982, 0.018878087009403577, 1.243986607660339]","[-1.5788733904311463, -1.22310922822624, -0.05972341462965492]",0.9333333333333332,apriltag,"[-0.26356437596645216, 0.018567171597357657, 1.2412731524582057]","[-1.5780533166089585, -1.2234707403430127, -0.06087609679051667]",True,"[0.0007573195677460509, -0.0003109154120459201, -0.002713455202133286]","[0.0010339742728775634, -0.0006962552170574699, 3.892883726558484e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'decode_sharpening': 0.25, 'parser': 'simple'}"
