imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.23089994850186418, -0.05176956924563497, 1.1638580144196644]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.0,aruco,"[-0.24617623014313345, -0.046630804723969584, 1.1870722673388998]","[-3.066781976264567, 0.07383479754933898, -0.6148272146351125]",True,"[-0.015276281641269263, 0.0051387645216653885, 0.0232142529192354]","[-0.05851104080047181, -0.3754577946320732, -0.06043658270112465]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.23056667096506894, -0.0517702196910515, 1.1638640783704859]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.0666666666666666,aruco,"[-0.22911437166710233, -0.04916315707688852, 1.1903014318008265]","[-3.07072833395933, 0.05155935496566774, 0.005488768216259512]",True,"[0.0014522992979666138, 0.0026070626141629777, 0.026437353430340593]","[-0.0019481328501097875, 0.02298265301316344, -0.03147360434881014]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.23001120840374353, -0.05177130376674577, 1.1638741849551884]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.1333333333333333,aruco,"[-0.22828872988497748, -0.049168750532233386, 1.1902962053007553]","[-3.0705676020844144, 0.051568883496142914, 0.005583871841554915]",True,"[0.0017224785187660574, 0.0026025532345123822, 0.026422020345566954]","[-0.001787631518861204, 0.023044818588445603, -0.03147774702211925]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.22923356081788798, -0.05177282147271772, 1.1638883341737718]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.2,aruco,"[-0.2274630635683507, -0.049174386349979636, 1.190290884027064]","[-3.0704059418987164, 0.05157841830598616, 0.005679632358700348]",True,"[0.0017704972495372895, 0.0025984351227380867, 0.026402549853292268]","[-0.001626205760577874, 0.023107418169331737, -0.031481879806424445]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.22823372820750223, -0.05177477280896736, 1.163906526026236]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.2666666666666666,aruco,"[-0.22663737226244188, -0.04918006473244527, 1.1902854672554466]","[-3.070243348084514, 0.051587959689044914, 0.005776065374196511]",True,"[0.001596355945060357, 0.0025947080765220953, 0.026378941229210584]","[-0.0014638503428506381, 0.023170462033959213, -0.03148600253312447]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.22701171057258632, -0.05177715777549474, 1.1639287605125814]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.3333333333333333,aruco,"[-0.22428617889328076, -0.04832438621774482, 1.191084557440914]","[-3.0905369941770293, 0.04997329166776799, 0.04265449045358382]",True,"[0.0027255316793055595, 0.003452771557749923, 0.027155796928332476]","[-0.022008922037100843, 0.04695954443415159, -0.029553370847432474]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.22556750791314026, -0.05177997637229981, 1.1639550376328076]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.4,aruco,"[-0.22263275043495756, -0.0483317310731016, 1.1910864678614939]","[-3.0903132603467816, 0.04998624003128095, 0.042964473137191754]",True,"[0.002934757478182698, 0.0034482452991982104, 0.02713143022868625]","[-0.021789404922413446, 0.047162002480652956, -0.029554604993475835]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.22390112022916403, -0.05178322859938256, 1.163985357386915]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.4666666666666667,aruco,"[-0.22097925563448498, -0.04833920817972297, 1.1910882473394335]","[-3.0900868395281424, 0.04999920245985178, 0.04327635324326178]",True,"[0.0029218645946790522, 0.003444020419659591, 0.027102889952518527]","[-0.021567257047256802, 0.0473657363127215, -0.029555805613300217]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.22201254752065763, -0.051786914456742994, 1.1640197197749031]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.5333333333333333,aruco,"[-0.22368332392307202, -0.04842122444215884, 1.1984206877106793]","[-3.0975982707886027, 0.06288334039726753, -0.06756651397493948]",True,"[-0.0016707764024143923, 0.003365690014584151, 0.03440096793577618]","[-0.02970109096027175, -0.023882143478219393, -0.040457919084491194]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.21990178978762107, -0.05179103394438117, 1.1640581247967723]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.6,aruco,"[-0.21720123299981803, -0.04773223987824393, 1.1910379040824899]","[-3.1037044239942055, 0.05233690197124945, 0.045350202540582675]",True,"[0.002700556787803038, 0.004058794066137239, 0.026979779285717598]","[-0.03523662876204315, 0.04864459825715983, -0.03100484633131538]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
